"fips","biomass_host","height_host","height_cv_host","diameter_host","diameter_cv_host","heightvar_host","diametervar_host","cr_host","stand_age_host","biomass_nonhost","height_nonhost","height_cv_nonhost","diameter_nonhost","diameter_cv_nonhost","heightvar_nonhost","diametervar_nonhost","cr_nonhost","stand_age_nonhost","Total_pests","AllPest","specialist_count","generalist_count","state","state_name","county","statefp","countyfp","name","lat","lon","ALAND","land_area_km2","pop_density","MEAN_MAT","MEAN_MAP","MEAN_WMAP","state_fips","county_fips","US_L3CODE","US_L3NAME","h_nh_biomassratio","treediversity_shannondiversity_hosts","treediversity_specrich_hosts","treediversity_shannondiversity_nonhosts","treediversity_specrich_nonhosts","treesizeclass_shannondiversity_hosts","treesizeclass_specrich_hosts","treesizeclass_shannondiversity_nonhosts","treesizeclass_specrich_nonhosts","genus_richness_hosts","genus_richness_nonhosts","FORTYPCD","count","Total_pests_t","biomass_host_t","diametervar_host_t","diameter_host_t","heightvar_host_t","height_host_t","cr_host_t","height_cv_host_t","diameter_cv_host_t","biomass_nonhost_t","diametervar_nonhost_t","diameter_nonhost_t","heightvar_nonhost_t","height_nonhost_t","cr_nonhost_t","height_cv_nonhost_t","diameter_cv_nonhost_t","height_cv_t_difference_NHminH","diameter_cv_t_difference_NHminH","treesizeclass_shannondiversity_difference_NHminH","height_difference_NHminH","diameter_difference_NHminH","genus_richness_total","treediversity_specrich_total","height_cv_difference_HminNH","diameter_cv_t_difference_HminNH","treesizeclass_shannondiversity_difference_HminNH","height_difference_HminNH","diameter_difference_HminNH","total_all","hosts_all","nonhosts_all","prop_hosts","prop_nonhosts","host_tree_density","density_nonhosts","prop_hosts_to_nonhosts","h_nh_densityratio_all","FORTYPCD_group","broad_group","NA_L1CODE","NA_L1NAME"
"01001",1110295.147,49.77481177,38.34745929,7.395506502,51.5286219,364.3279104,14.52221633,31.80111266,26.90558091,111817.3603,43.04497354,54.35043821,5.842698413,68.05888401,547.3321895,15.81235609,31.35211268,39.32425068,1,"c(""Japanese Beetle"", ""Chestnut Blight"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Autauga County",1,1,"Autauga",32.53954674,-86.64407584,1539634184,1539.634184,36.13780506,17.63111303,1396,328.3452381,"01","001",65,"Southeastern Plains",9.92954174576414,2.01399439139842,44,2.69863044692549,24,1.04099720641572,6,1.0908512224568,4,18,17,161,1697,0.688316693161292,43.5597108385796,2.39523948753778,0.969849628092803,37.0096610153973,1288.54075513947,1.64032397121737,10.6725677779908,44.2380954180695,16.8775485512114,2.45552067808126,1.45746932014971,22.4884838580077,59.4662243228961,0.800291664890896,41.1715524113436,113.056707896208,30.4989846333528,68.818612478139,0.0498540160410788,-1229.07453081657,0.48761969205691,35,68,-30.4989846333528,-68.818612478139,-0.0498540160410788,1229.07453081657,-0.48761969205691,3320,2939,381,0.885240963855422,0.114759036144578,1.90889500281451,0.247461380085855,7.71391076115486,7.71391076115486,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01003",2369972.276,51.249958,39.87585829,7.359969763,51.5425756,417.6448358,14.39077866,30.4187905,33.74062129,587000.5898,52.69779287,47.30124773,8.158947368,62.50682805,621.3410487,26.00897187,29.84683794,55.35744681,3,"c(""Crepe Myrtle Scale"", ""Camphor Scale"", ""Cottony Cushion Scale"", ""Laurel Wilt"")",1,2,"AL","Alabama","Baldwin County",1,3,"Baldwin",30.72889271,-87.72262113,4117656199,4117.656199,53.01292518,19.26576648,1656.670588,499.827451,"01","003",65,"Southeastern Plains",4.03742741861211,2.22436197090604,37,2.43622733484471,25,1.04971434826523,6,1.27999051065504,6,16,17,161,2218,1.36706207581583,49.2905240430804,2.38879038087569,0.969180291723316,39.7866559239081,1364.52905550088,1.6328566132722,10.9184449461477,44.2495188811202,20.4061247897222,2.80359453599997,1.61326992995813,23.6172794694717,74.3343765611538,0.799615360930649,36.2477043457452,102.575595323978,25.3292593995976,58.3260764428574,0.230276162389806,-1290.19467893973,0.644089638234816,33,62,-25.3292593995976,-58.3260764428574,-0.230276162389806,1290.19467893973,-0.644089638234816,7225,6015,1210,0.832525951557093,0.167474048442907,1.46078247170339,0.293856490567099,4.97107438016529,4.97107438016529,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01005",1636950.341,50.88203267,42.69097388,7.383310863,55.86656392,471.8468166,17.01399223,33.84682964,26.85548829,88048.39922,41.29640719,52.41731314,5.777005988,68.26806489,468.5695366,15.55395437,34.53941909,40.64285714,0,"Chestnut Blight",0,0,"AL","Alabama","Barbour County",1,5,"Barbour",31.86794216,-85.38793276,2292160149,2292.160149,10.91808529,17.99008462,1333.0625,352.7421875,"01","005",65,"Southeastern Plains",18.5914832694445,1.997495469186,39,2.38611843809319,17,1.10998776191352,6,1.10029361427866,5,17,13,161,2038,0,46.4169819009127,2.50725196365672,0.969620520163949,42.4354548781293,1345.37265698547,1.65054594996055,11.359693761264,47.7822578040036,16.3976088001769,2.44386426825621,1.45207524868951,21.1711908085753,56.8093754590703,0.80151450011156,39.8272647675665,113.454165835806,28.4675710063025,65.6719080318025,-0.00969414763485954,-1288.5632815264,0.482454728525565,30,56,-28.4675710063025,-65.6719080318025,0.00969414763485954,1288.5632815264,-0.482454728525565,4269,3925,344,0.919419067697353,0.080580932302647,1.71235853730044,0.150076773714994,11.4098837209302,11.4098837209302,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01007",1390322.574,52.20440051,42.47748895,7.396731505,55.95396697,491.7358786,17.12937327,33.96876284,33.26403061,123482.9807,41.77017115,51.09087526,5.672469438,66.22765831,455.4274414,14.11312305,33.98533724,50.17073171,1,"c(""Japanese Beetle"", ""Chestnut Blight"", ""Laurel Wilt"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Bibb County",1,7,"Bibb",32.99526918,-87.12687743,1612188717,1612.188717,13.8780279,16.82691383,1462.285714,345.7692308,"01","007",67,"Ridge and Valley",11.2592242762407,2.06838304967884,38,2.21085314057083,16,1.10958756940031,6,1.01064913646509,5,17,13,161,1750,0.688316693161292,45.1959378063396,2.51201811695332,0.969872606696549,43.3693790803843,1414.85411681424,1.65112664299684,11.3267341341198,47.8535235112964,17.0788954365248,2.3749653181424,1.44334965022744,20.9375479750712,57.5280490461536,0.801319737076318,38.9023125292666,109.585092906452,27.5755783951467,61.7315693951553,-0.0989384329352205,-1357.32606776809,0.473477043530891,30,54,-27.5755783951467,-61.7315693951553,0.0989384329352205,1357.32606776809,-0.473477043530891,3614,3173,441,0.877974543442169,0.122025456557831,1.96813187348463,0.273541177499755,7.19501133786848,7.19501133786848,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01009",865545.9636,48.11286577,44.61883371,7.000204366,62.94282902,460.8492442,19.41395219,39.45145631,30.57759025,123974.4572,42.125,51.69258234,5.98634375,69.88732704,474.1724138,17.50330916,43.31501832,40.16510903,1,"c(""Japanese Beetle"", ""Chestnut Blight"", ""Butternut Canker"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Blount County",1,9,"Blount",33.98234094,-86.56754673,1670259090,1670.25909,34.5784677,15.56345061,1447.94898,320.4897959,"01","009",68,"Southwestern Appalachians",6.98164753569899,2.27983553129041,31,2.12544446767736,19,1.15584894320721,6,1.08906848934934,5,15,17,161,1215,0.688316693161292,41.8077632637537,2.60005939447187,0.96209189004735,41.9106872112307,1205.53679207102,1.67445000535908,11.6537961202281,53.5348583516918,17.086980138962,2.5272381783744,1.46903255908175,21.2694948482477,58.0668848444979,0.80388627278487,39.3221572983518,116.536993358085,27.6683611781237,63.0021350063932,-0.0667804538578707,-1147.46990722652,0.506940669034404,32,50,-27.6683611781237,-63.0021350063932,0.0667804538578707,1147.46990722652,-0.506940669034404,2478,2154,324,0.869249394673123,0.130750605326877,1.28962028280295,0.193981880978717,6.64814814814815,6.64814814814815,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01011",1233707.718,51.61386836,40.79531536,7.539950722,55.23240179,443.3568358,17.34302591,33.80047962,30.05183357,128950.7801,47.38059701,54.79677179,6.427761194,81.52604628,674.0793225,27.46073954,31.13733906,50.28252788,1,"c(""Japanese Beetle"", ""Chestnut Blight"")",0,1,"AL","Alabama","Bullock County",1,11,"Bullock",32.09960249,-85.71028414,1613083467,1613.083467,6.306555245,17.87502729,1383.438776,349.1836735,"01","011",65,"Southeastern Plains",9.5672761114223,2.07452309459474,37,2.36514482090742,19,1.14219140019676,6,1.23303642380492,6,19,13,161,1424,0.688316693161292,44.3200086827437,2.52075612756495,0.972516625020157,41.0630964484107,1383.6095719017,1.65032441040398,11.0641716967062,47.2650156307624,17.1671856186449,2.84102504597719,1.50271232264978,24.3688333996278,66.1037985296188,0.800199488573494,41.4813194918372,138.998161635545,30.4171477951309,91.7331460047823,0.0908450236081584,-1317.50577337209,0.530195697629627,32,56,-30.4171477951309,-91.7331460047823,-0.0908450236081584,1317.50577337209,-0.530195697629627,3113,2844,269,0.913588178605846,0.0864118213941535,1.76308297628842,0.166761364494228,10.5724907063197,10.5724907063197,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01013",1685511.67,52.54419284,40.89361481,7.476537619,54.23221238,461.7006159,16.44052527,32.93359942,26.47224975,113543.1442,40.57760814,53.0143953,5.607328244,76.41696955,462.7650075,18.36079922,34.4952381,41.48974359,1,"Japanese Beetle",0,1,"AL","Alabama","Butler County",1,13,"Butler",31.75293353,-86.68059492,2012002546,2012.002546,9.804162544,18.01783807,1462.638095,376.8380952,"01","013",65,"Southeastern Plains",14.8446802479863,1.71080024902462,38,2.80508580977425,26,1.12734300658004,6,1.08104907940348,5,17,21,161,2721,0.688316693161292,46.6385676163486,2.48305364366855,0.971356233092996,41.9515312027362,1432.99029344355,1.64609742237113,11.0796570900942,46.4486300267518,16.9085452404939,2.56089765626624,1.43782175706174,21.068533120747,55.7207071679169,0.801499219112173,40.2429382048669,129.074853990824,29.1632811147727,82.6262239640719,-0.046293927176565,-1377.26958627564,0.466465523968746,38,64,-29.1632811147727,-82.6262239640719,0.046293927176565,1377.26958627564,-0.466465523968746,4503,4110,393,0.912724850099933,0.0872751499000666,2.04274095386756,0.195327784639891,10.4580152671756,10.4580152671756,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01015",783772.0109,51.11104784,42.86767157,7.565546697,55.40196258,480.0531884,17.56834825,36.32703927,35.63382688,91132.15643,41.31775701,47.73849724,5.727009346,62.18611666,389.054965,12.68360353,36.82113821,46.27586207,2,"c(""Dutch Elm Disease"", ""Emerald Ash Borer"", ""Japanese Beetle"", ""Chestnut Blight"", ""Littleleaf Disease"", ""Dogwood Anthracnose"")",1,1,"AL","Alabama","Calhoun County",1,15,"Calhoun",33.77376946,-85.82443637,1569246127,1569.246127,72.85281641,15.94370424,1400.290323,316.6236559,"01","015",67,"Ridge and Valley",8.60038916671556,2.31015890177614,33,2.07118006332548,13,1.15396928964432,5,0.96565682896122,5,14,11,161,899,1.08651057956465,41.1265717415353,2.52985082662532,0.972980455027431,42.8231107496527,1357.28065349138,1.66178993990261,11.3869136163204,47.4033433550316,16.4663141930711,2.29905711618044,1.4479241068238,19.6845632335158,56.8417427820209,0.802249772706937,36.5549346524451,101.974279583836,25.1680210361247,54.5709362288046,-0.188312460683097,-1300.43891070936,0.474943651796373,25,46,-25.1680210361247,-54.5709362288046,0.188312460683097,1300.43891070936,-0.474943651796373,2077,1756,321,0.845450168512277,0.154549831487723,1.11900865631386,0.204556821569903,5.47040498442368,5.47040498442368,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01017",1367635.19,50.17917474,41.37280738,7.09732761,54.32835289,430.9997435,14.86766552,30.94839408,22.5742025,76768.11389,38.77254902,55.57315578,5.348156863,77.88159952,464.278771,17.34914187,35.82258065,27.54724409,1,"c(""Japanese Beetle"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Chambers County",1,17,"Chambers",32.91358935,-85.39069119,1545085601,1545.085601,21.63440005,16.64250984,1413.176471,336.8470588,"01","017",45,"Piedmont",17.8151464286288,1.46535774774424,30,2.43236373696967,19,1.0496366155704,6,1.0807721748457,5,15,14,161,2836,0.688316693161292,45.074471836729,2.41190662305408,0.964063463010188,40.4543405488897,1309.15396353373,1.6357749700132,11.1548894530118,46.5271351185547,16.1254007505745,2.52100460709787,1.41510405825983,21.0953861677627,52.9961107756666,0.801940503666687,42.019614733211,131.909729021138,30.8647252801992,85.3825939025831,0.031135559275306,-1256.15785275806,0.451040595249642,29,49,-30.8647252801992,-85.3825939025831,-0.031135559275306,1256.15785275806,-0.451040595249642,3868,3613,255,0.934074457083764,0.0659255429162358,2.33838176840275,0.165039399652007,14.1686274509804,14.1686274509804,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01019",976504.9858,50.02884615,41.15569962,7.720269231,52.70191262,423.9366374,16.5545601,38.24276032,37.72937771,107109.0819,40.07951807,50.04558753,5.62826506,66.43853014,402.3245795,13.98263805,38.25495751,44.64492754,3,"c(""Imported Willow Leaf Beetle"", ""Emerald Ash Borer"", ""Japanese Beetle"", ""Chestnut Blight"", ""Littleleaf Disease"", ""Dogwood Anthracnose"")",1,2,"AL","Alabama","Cherokee County",1,19,"Cherokee",34.17582351,-85.60571037,1433620850,1433.62085,18.16031066,15.51629923,1432.034091,318.2272727,"01","019",67,"Ridge and Valley",9.1169205120411,2.48294787523345,34,2.25108918466171,18,1.10882571568957,6,1.02245246304893,4,12,12,161,889,1.36706207581583,42.6486600013889,2.48793464579888,0.975729998711931,40.1025107710347,1301.47156970019,1.66973261478796,11.1208563863454,45.1981011203844,16.7906402256488,2.36837127931976,1.43960617559709,19.9456751200164,54.9675406738654,0.802663254838241,38.171904603013,109.984138825118,27.0510482166676,64.786037704734,-0.0863732526406367,-1246.50402902632,0.463876176885156,24,52,-27.0510482166676,-64.786037704734,0.0863732526406367,1246.50402902632,-0.463876176885156,2495,2080,415,0.833667334669339,0.166332665330661,1.45087175594579,0.289476816691108,5.01204819277108,5.01204819277108,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
