"fips","biomass_host","height_host","height_cv_host","diameter_host","diameter_cv_host","heightvar_host","diametervar_host","cr_host","stand_age_host","biomass_nonhost","height_nonhost","height_cv_nonhost","diameter_nonhost","diameter_cv_nonhost","heightvar_nonhost","diametervar_nonhost","cr_nonhost","stand_age_nonhost","Total_pests","AllPest","specialist_count","generalist_count","state","state_name","county","statefp","countyfp","name","lat","lon","ALAND","land_area_km2","pop_density","MEAN_MAT","MEAN_MAP","MEAN_WMAP","state_fips","county_fips","US_L3CODE","US_L3NAME","h_nh_biomassratio","treediversity_shannondiversity_hosts","treediversity_specrich_hosts","treediversity_shannondiversity_nonhosts","treediversity_specrich_nonhosts","treesizeclass_shannondiversity_hosts","treesizeclass_specrich_hosts","treesizeclass_shannondiversity_nonhosts","treesizeclass_specrich_nonhosts","genus_richness_hosts","genus_richness_nonhosts","FORTYPCD","count","Total_pests_t","biomass_host_t","diametervar_host_t","diameter_host_t","heightvar_host_t","height_host_t","cr_host_t","height_cv_host_t","diameter_cv_host_t","biomass_nonhost_t","diametervar_nonhost_t","diameter_nonhost_t","heightvar_nonhost_t","height_nonhost_t","cr_nonhost_t","height_cv_nonhost_t","diameter_cv_nonhost_t","height_cv_t_difference_NHminH","diameter_cv_t_difference_NHminH","treesizeclass_shannondiversity_difference_NHminH","height_difference_NHminH","diameter_difference_NHminH","genus_richness_total","treediversity_specrich_total","height_cv_difference_HminNH","diameter_cv_t_difference_HminNH","treesizeclass_shannondiversity_difference_HminNH","height_difference_HminNH","diameter_difference_HminNH","total_gen","hosts_gen","nonhosts_gen","prop_gen_hosts","prop_nonhosts","gen_host_tree_density","density_gen_nonhosts","prop_hosts_to_nonhosts_gen","h_nh_densityratio_gen","FORTYPCD_group","broad_group","NA_L1CODE","NA_L1NAME"
"01001",1110295.147,49.77481177,38.34745929,7.395506502,51.5286219,364.3279104,14.52221633,31.80111266,26.90558091,111817.3603,43.04497354,54.35043821,5.842698413,68.05888401,547.3321895,15.81235609,31.35211268,39.32425068,1,"c(""Japanese Beetle"", ""Chestnut Blight"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Autauga County",1,1,"Autauga",32.53954674,-86.64407584,1539634184,1539.634184,36.13780506,17.63111303,1396,328.3452381,"01","001",65,"Southeastern Plains",9.92954174576414,2.01399439139842,44,2.69863044692549,24,1.04099720641572,6,1.0908512224568,4,18,17,161,1697,0.688316693161292,63.6088054696856,2.52650865833214,1.06512740673512,43.9880762848279,1288.54075513947,1.5601884178351,9.70414210645407,39.207796313706,13.1030313404487,2.45552067808126,1.40754766599257,22.4884838580077,59.4662243228961,1.09499282724256,67.7256548416874,129.764354103321,58.0215127352333,90.5565577896151,0.0498540160410788,-1229.07453081657,0.342420259257448,35,68,-58.0215127352333,-90.5565577896151,-0.0498540160410788,1229.07453081657,-0.342420259257448,3320,2939,381,0.885240963855422,0.114759036144578,1.90889500281451,0.247461380085855,0.125984251968504,7.71391076115486,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01003",2369972.276,51.249958,39.87585829,7.359969763,51.5425756,417.6448358,14.39077866,30.4187905,33.74062129,587000.5898,52.69779287,47.30124773,8.158947368,62.50682805,621.3410487,26.00897187,29.84683794,55.35744681,3,"c(""Crepe Myrtle Scale"", ""Camphor Scale"", ""Cottony Cushion Scale"", ""Laurel Wilt"")",1,2,"AL","Alabama","Baldwin County",1,3,"Baldwin",30.72889271,-87.72262113,4117656199,4117.656199,53.01292518,19.26576648,1656.670588,499.827451,"01","003",65,"Southeastern Plains",4.03742741861211,2.22436197090604,37,2.43622733484471,25,1.04971434826523,6,1.27999051065504,6,16,17,161,2218,1.36706207581583,73.8244286937268,2.51930514631367,1.06426136584668,47.5225705981709,1364.52905550088,1.5536976192916,9.91594980783956,39.2175301603819,15.2356281055973,2.80359453599997,1.55086701237181,23.6172794694717,74.3343765611538,1.09261924723596,58.4071170495771,117.347945835783,48.4911672417375,78.130415675401,0.230276162389806,-1290.19467893973,0.486605646525123,33,62,-48.4911672417375,-78.130415675401,-0.230276162389806,1290.19467893973,-0.486605646525123,7225,6015,1210,0.832525951557093,0.167474048442907,1.46078247170339,0.293856490567099,0.127272727272727,4.97107438016529,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01005",1636950.341,50.88203267,42.69097388,7.383310863,55.86656392,471.8468166,17.01399223,33.84682964,26.85548829,88048.39922,41.29640719,52.41731314,5.777005988,68.26806489,468.5695366,15.55395437,34.53941909,40.64285714,0,"Chestnut Blight",0,0,"AL","Alabama","Barbour County",1,5,"Barbour",31.86794216,-85.38793276,2292160149,2292.160149,10.91808529,17.99008462,1333.0625,352.7421875,"01","005",65,"Southeastern Plains",18.5914832694445,1.997495469186,39,2.38611843809319,17,1.10998776191352,6,1.10029361427866,5,17,13,161,2038,0,68.6630146222583,2.6520218311382,1.06483091845255,50.9114937267871,1345.37265698547,1.56905505546165,10.2952528221157,42.2228699673635,12.8015227286573,2.44386426825621,1.40255589313785,21.1711908085753,56.8093754590703,1.09939554638794,65.1613570313535,130.236014735882,54.8661042092378,88.0131447685182,-0.00969414763485954,-1288.5632815264,0.337724974685297,30,56,-54.8661042092378,-88.0131447685182,0.00969414763485954,1288.5632815264,-0.337724974685297,4269,3925,344,0.919419067697353,0.080580932302647,1.71235853730044,0.150076773714994,0.26453488372093,11.4098837209302,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01007",1390322.574,52.20440051,42.47748895,7.396731505,55.95396697,491.7358786,17.12937327,33.96876284,33.26403061,123482.9807,41.77017115,51.09087526,5.672469438,66.22765831,455.4274414,14.11312305,33.98533724,50.17073171,1,"c(""Japanese Beetle"", ""Chestnut Blight"", ""Laurel Wilt"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Bibb County",1,7,"Bibb",32.99526918,-87.12687743,1612188717,1612.188717,13.8780279,16.82691383,1462.285714,345.7692308,"01","007",67,"Ridge and Valley",11.2592242762407,2.06838304967884,38,2.21085314057083,16,1.10958756940031,6,1.01064913646509,5,17,13,161,1750,0.688316693161292,66.4934275874219,2.65737925162939,1.06515714620079,52.1102860056776,1414.85411681424,1.56955809990232,10.2669554051173,42.2833990106187,13.22866133742,2.3749653181424,1.39447695208111,20.9375479750712,57.5280490461536,1.09868407570439,63.405610363311,125.647088308481,53.1386549581938,83.3636892978619,-0.0989384329352205,-1357.32606776809,0.329319805880323,30,54,-53.1386549581938,-83.3636892978619,0.0989384329352205,1357.32606776809,-0.329319805880323,3614,3173,441,0.877974543442169,0.122025456557831,1.96813187348463,0.273541177499755,0.072562358276644,7.19501133786848,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01009",865545.9636,48.11286577,44.61883371,7.000204366,62.94282902,460.8492442,19.41395219,39.45145631,30.57759025,123974.4572,42.125,51.69258234,5.98634375,69.88732704,474.1724138,17.50330916,43.31501832,40.16510903,1,"c(""Japanese Beetle"", ""Chestnut Blight"", ""Butternut Canker"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Blount County",1,9,"Blount",33.98234094,-86.56754673,1670259090,1670.25909,34.5784677,15.56345061,1447.94898,320.4897959,"01","009",68,"Southwestern Appalachians",6.98164753569899,2.27983553129041,31,2.12544446767736,19,1.15584894320721,6,1.08906848934934,5,15,17,161,1215,0.688316693161292,60.5495826965269,2.75659251146889,1.05511673762335,50.238779614526,1205.53679207102,1.58970270113403,10.5475078871122,47.0971809166998,13.2336952717699,2.5272381783744,1.41824192918737,21.2694948482477,58.0668848444979,1.1084262299528,64.2016762177817,133.896324603448,53.6541683306695,86.7991436867479,-0.0667804538578707,-1147.46990722652,0.363125191564015,32,50,-53.6541683306695,-86.7991436867479,0.0667804538578707,1147.46990722652,-0.363125191564015,2478,2154,324,0.869249394673123,0.130750605326877,1.28962028280295,0.193981880978717,0.216049382716049,6.64814814814815,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01011",1233707.718,51.61386836,40.79531536,7.539950722,55.23240179,443.3568358,17.34302591,33.80047962,30.05183357,128950.7801,47.38059701,54.79677179,6.427761194,81.52604628,674.0793225,27.46073954,31.13733906,50.28252788,1,"c(""Japanese Beetle"", ""Chestnut Blight"")",0,1,"AL","Alabama","Bullock County",1,11,"Bullock",32.09960249,-85.71028414,1613083467,1613.083467,6.306555245,17.87502729,1383.438776,349.1836735,"01","011",65,"Southeastern Plains",9.5672761114223,2.07452309459474,37,2.36514482090742,19,1.14219140019676,6,1.23303642380492,6,19,13,161,1424,0.688316693161292,64.9459281716941,2.66720485190877,1.06858263040874,49.1535911207176,1383.6095719017,1.56886312083425,10.0413314607891,41.7834408453776,13.2835914545035,2.84102504597719,1.44933919200989,24.3688333996278,66.1037985296188,1.09466687926056,68.3186266292269,160.66187343237,58.2772951684378,118.878432586992,0.0908450236081584,-1317.50577337209,0.380756561601145,32,56,-58.2772951684378,-118.878432586992,-0.0908450236081584,1317.50577337209,-0.380756561601145,3113,2844,269,0.913588178605846,0.0864118213941535,1.76308297628842,0.166761364494228,0.680297397769517,10.5724907063197,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01013",1685511.67,52.54419284,40.89361481,7.476537619,54.23221238,461.7006159,16.44052527,32.93359942,26.47224975,113543.1442,40.57760814,53.0143953,5.607328244,76.41696955,462.7650075,18.36079922,34.4952381,41.48974359,1,"Japanese Beetle",0,1,"AL","Alabama","Butler County",1,13,"Butler",31.75293353,-86.68059492,2012002546,2012.002546,9.804162544,18.01783807,1462.638095,376.8380952,"01","013",65,"Southeastern Plains",14.8446802479863,1.71080024902462,38,2.80508580977425,26,1.12734300658004,6,1.08104907940348,5,17,21,161,2721,0.688316693161292,69.0582634625298,2.62484286322017,1.0670784081585,50.2911156611211,1432.99029344355,1.56519902727597,10.0546483112413,41.0894626456199,13.1224045060912,2.56089765626624,1.38935611153679,21.068533120747,55.7207071679169,1.09933957730685,65.9526994156876,148.816717831651,55.8980511044462,107.727255186031,-0.046293927176565,-1377.26958627564,0.322277703378292,38,64,-55.8980511044462,-107.727255186031,0.046293927176565,1377.26958627564,-0.322277703378292,4503,4110,393,0.912724850099933,0.0872751499000666,2.04274095386756,0.195327784639891,0.183206106870229,10.4580152671756,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01015",783772.0109,51.11104784,42.86767157,7.565546697,55.40196258,480.0531884,17.56834825,36.32703927,35.63382688,91132.15643,41.31775701,47.73849724,5.727009346,62.18611666,389.054965,12.68360353,36.82113821,46.27586207,2,"c(""Dutch Elm Disease"", ""Emerald Ash Borer"", ""Japanese Beetle"", ""Chestnut Blight"", ""Littleleaf Disease"", ""Dogwood Anthracnose"")",1,1,"AL","Alabama","Calhoun County",1,15,"Calhoun",33.77376946,-85.82443637,1569246127,1569.246127,72.85281641,15.94370424,1400.290323,316.6236559,"01","015",67,"Ridge and Valley",8.60038916671556,2.31015890177614,33,2.07118006332548,13,1.15396928964432,5,0.96565682896122,5,14,11,161,899,1.08651057956465,59.368469888928,2.67743648045546,1.06918427672446,51.4088493926415,1357.28065349138,1.57878277888454,10.3186181528022,41.9009782978022,12.8448640165029,2.29905711618044,1.39871302678901,19.6845632335158,56.8417427820209,1.10211952077258,58.9824717624487,116.636897006171,48.6638536096465,74.7359187083688,-0.188312460683097,-1300.43891070936,0.329528750064544,25,46,-48.6638536096465,-74.7359187083688,0.188312460683097,1300.43891070936,-0.329528750064544,2077,1756,321,0.845450168512277,0.154549831487723,1.11900865631386,0.204556821569903,0.130841121495327,5.47040498442368,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01017",1367635.19,50.17917474,41.37280738,7.09732761,54.32835289,430.9997435,14.86766552,30.94839408,22.5742025,76768.11389,38.77254902,55.57315578,5.348156863,77.88159952,464.278771,17.34914187,35.82258065,27.54724409,1,"c(""Japanese Beetle"", ""Littleleaf Disease"")",0,1,"AL","Alabama","Chambers County",1,17,"Chambers",32.91358935,-85.39069119,1545085601,1545.085601,21.63440005,16.64250984,1413.176471,336.8470588,"01","017",45,"Piedmont",17.8151464286288,1.46535774774424,30,2.43236373696967,19,1.0496366155704,6,1.0807721748457,5,15,14,161,2836,0.688316693161292,66.2783886832539,2.54513696458942,1.05765535208224,48.3752402469577,1309.15396353373,1.55623566495937,10.1193273412471,41.1562187445095,12.6292106371622,2.52100460709787,1.36829002758603,21.0953861677627,52.9961107756666,1.10096623900921,69.3508812997885,152.197487384599,59.2315539585414,111.041268640089,0.031135559275306,-1256.15785275806,0.31063467550379,29,49,-59.2315539585414,-111.041268640089,-0.031135559275306,1256.15785275806,-0.31063467550379,3868,3613,255,0.934074457083764,0.0659255429162358,2.33838176840275,0.165039399652007,0.180392156862745,14.1686274509804,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
"01019",976504.9858,50.02884615,41.15569962,7.720269231,52.70191262,423.9366374,16.5545601,38.24276032,37.72937771,107109.0819,40.07951807,50.04558753,5.62826506,66.43853014,402.3245795,13.98263805,38.25495751,44.64492754,3,"c(""Imported Willow Leaf Beetle"", ""Emerald Ash Borer"", ""Japanese Beetle"", ""Chestnut Blight"", ""Littleleaf Disease"", ""Dogwood Anthracnose"")",1,2,"AL","Alabama","Cherokee County",1,19,"Cherokee",34.17582351,-85.60571037,1433620850,1433.62085,18.16031066,15.51629923,1432.034091,318.2272727,"01","019",67,"Ridge and Valley",9.1169205120411,2.48294787523345,34,2.25108918466171,18,1.10882571568957,6,1.02245246304893,4,12,12,161,889,1.36706207581583,62.014101340471,2.63032222775517,1.07275529367026,47.9257995952176,1301.47156970019,1.58563787417289,10.0900719953939,40.025448094123,13.0486489398333,2.36837127931976,1.39100935423908,19.9456751200164,54.9675406738654,1.10367942323123,62.0242312158166,126.120120492048,51.9341592204227,86.0946723979253,-0.0863732526406367,-1246.50402902632,0.318254060568822,24,52,-51.9341592204227,-86.0946723979253,0.0863732526406367,1246.50402902632,-0.318254060568822,2495,2080,415,0.833667334669339,0.166332665330661,1.45087175594579,0.289476816691108,0.281927710843373,5.01204819277108,100,"White / red / jack pine group",8,"EASTERN TEMPERATE FORESTS"
